Series;series_category
Fertilizer consumption (kilograms per hectare of arable land);kilograms per hectare of arable land
Agricultural land (sq. km);sq. km
Agricultural land (% of land area);% of land area
Arable land (hectares);hectares
Arable land (hectares per person);hectares per person
Arable land (% of land area);% of land area
Rural land area where elevation is below 5 meters (sq. km);sq. km
Rural land area where elevation is below 5 meters (% of total land area);% of total land area
Urban land area where elevation is below 5 meters (sq. km);sq. km
Urban land area where elevation is below 5 meters (% of total land area);% of total land area
Land area where elevation is below 5 meters (% of total land area);% of total land area
Forest area (sq. km);sq. km
Forest area (% of land area);% of land area
Land area (sq. km);sq. km
Rural land area (sq. km);sq. km
Urban land area (sq. km);sq. km
Surface area (sq. km);sq. km
Trade in services (% of GDP);% of GDP
Communications, computer, etc. (% of service imports, BoP);% of service imports, BoP
Primary income payments (BoP, current US$);BoP, current US$
Imports of goods and services (BoP, current US$);BoP, current US$
Insurance and financial services (% of service imports, BoP);% of service imports, BoP
Goods imports (BoP, current US$);BoP, current US$
Service imports (BoP, current US$);BoP, current US$
Charges for the use of intellectual property, payments (BoP, current US$);BoP, current US$
Imports of goods, services and primary income (BoP, current US$);BoP, current US$
Transport services (% of service imports, BoP);% of service imports, BoP
Travel services (% of service imports, BoP);% of service imports, BoP
Foreign direct investment, net outflows (BoP, current US$);BoP, current US$
Foreign direct investment, net outflows (% of GDP);% of GDP
Secondary income, other sectors, payments (BoP, current US$);BoP, current US$
Personal remittances, paid (current US$);current US$
Current account balance (BoP, current US$);BoP, current US$
Current account balance (% of GDP);% of GDP
Net financial account (BoP, current US$);BoP, current US$
Net primary income (BoP, current US$);BoP, current US$
Net trade in goods and services (BoP, current US$);BoP, current US$
Net trade in goods (BoP, current US$);BoP, current US$
Net errors and omissions (BoP, current US$);BoP, current US$
Foreign direct investment, net (BoP, current US$);BoP, current US$
Portfolio investment, net (BoP, current US$);BoP, current US$
Reserves and related items (BoP, current US$);BoP, current US$
Net secondary income (BoP, current US$);BoP, current US$
Net capital account (BoP, current US$);BoP, current US$
ICT service exports (BoP, current US$);BoP, current US$
ICT service exports (% of service exports, BoP);% of service exports, BoP
Communications, computer, etc. (% of service exports, BoP);% of service exports, BoP
Primary income receipts (BoP, current US$);BoP, current US$
Exports of goods and services (BoP, current US$);BoP, current US$
Insurance and financial services (% of service exports, BoP);% of service exports, BoP
